node_1|node_2|edge|chunk_id|example
particular situation/project or organization|processes established by practitioners|specific to|fa5aee74a734410aa945cc3d6a0ab4b9|
processes established by practitioners|principles described herein|compare them with|fa5aee74a734410aa945cc3d6a0ab4b9|
principles described herein|good project risk management practice|validate them against|fa5aee74a734410aa945cc3d6a0ab4b9|
project risk management|pmbok guide fourth edition|is based on|e8160efae3a34db9a55edfc509091a31|
project risk management|processes|includes|e8160efae3a34db9a55edfc509091a31|
processes|risk management planning|is one of|e8160efae3a34db9a55edfc509091a31|
processes|identification|is one of|e8160efae3a34db9a55edfc509091a31|
processes|analysis|is one of|e8160efae3a34db9a55edfc509091a31|
processes|responses and monitoring and control|is one of|e8160efae3a34db9a55edfc509091a31|
objectives of project risk management|increase the probability and impact of positive events|includes|e8160efae3a34db9a55edfc509091a31|
objectives of project risk management|decrease the probability and impact of negative events|includes|e8160efae3a34db9a55edfc509091a31|
project risk|uncertain event or condition|is defined as|e8160efae3a34db9a55edfc509091a31|
project objectives|scope|includes|e8160efae3a34db9a55edfc509091a31|
project objectives|schedule|includes|e8160efae3a34db9a55edfc509091a31|
project objectives|cost|includes|e8160efae3a34db9a55edfc509091a31|
project objectives|quality|includes|e8160efae3a34db9a55edfc509091a31|
project risk management|identify and prioritize risks in advance of their occurrence|aims to|e8160efae3a34db9a55edfc509091a31|
project risk management|provide action-oriented information to project managers|aims to|e8160efae3a34db9a55edfc509091a31|
risk management|project managers|provides information to|6c74a26583a2456ea639d30eb1cb5dc4|
risk management|events|identifies and prioritizes|6c74a26583a2456ea639d30eb1cb5dc4|
events|project managers|is communicated to|6c74a26583a2456ea639d30eb1cb5dc4|
events|likelihood or probability of occurrence|described in terms of|6c74a26583a2456ea639d30eb1cb5dc4|
events|impact on objectives|described in addition to|6c74a26583a2456ea639d30eb1cb5dc4|
project risk management|pmbok guide fourth edition|is based on|c83172944116436eb1594eb46bf86e6b|
project risk management|processes|includes|c83172944116436eb1594eb46bf86e6b|
project risk management processes|risk management planning|concerned with|c83172944116436eb1594eb46bf86e6b|
project risk management processes|risk identification|concerned with|c83172944116436eb1594eb46bf86e6b|
project risk management processes|risk analysis|concerned with|c83172944116436eb1594eb46bf86e6b|
project risk management processes|risk responses|concerned with|c83172944116436eb1594eb46bf86e6b|
project risk management processes|monitoring and control|concerned with|c83172944116436eb1594eb46bf86e6b|
project risk management objectives|increase the probability and impact of positive events|aims to|c83172944116436eb1594eb46bf86e6b|
project risk management objectives|decrease the probability and impact of negative events|aims to|c83172944116436eb1594eb46bf86e6b|
project risk|uncertain event or condition|is|c83172944116436eb1594eb46bf86e6b|
project risk|affects project objectives|has an effect on|c83172944116436eb1594eb46bf86e6b|
project objectives|scope|includes|c83172944116436eb1594eb46bf86e6b|
project objectives|schedule|includes|c83172944116436eb1594eb46bf86e6b|
project objectives|cost|includes|c83172944116436eb1594eb46bf86e6b|
project objectives|quality|includes|c83172944116436eb1594eb46bf86e6b|
risk management|identifying risks|is necessary for|0c2429fe8d9f4f1e973b312ea0dcbda7|
risk management|prioritizing risks|is part of|0c2429fe8d9f4f1e973b312ea0dcbda7|
risk management|project managers|provides information to|0c2429fe8d9f4f1e973b312ea0dcbda7|
events|risk management|related to|0c2429fe8d9f4f1e973b312ea0dcbda7|
events|occurrence of events|represents|0c2429fe8d9f4f1e973b312ea0dcbda7|
events|likelihood or probability of occurrence|includes|0c2429fe8d9f4f1e973b312ea0dcbda7|
events|impact on objectives|includes|0c2429fe8d9f4f1e973b312ea0dcbda7|
project risk management|project management|is essential to|c90814c0131b47599b8ec23cc69bdd08|
project risk management|all projects|should be applied to|c90814c0131b47599b8ec23cc69bdd08|
project risk management|project plans|should be included in|c90814c0131b47599b8ec23cc69bdd08|
project risk management|operational documents|should be included in|c90814c0131b47599b8ec23cc69bdd08|
project risk management|every aspect of managing the project|becomes an integral part of|c90814c0131b47599b8ec23cc69bdd08|
project risk management|every phase|is applied in every|c90814c0131b47599b8ec23cc69bdd08|
project risk management|every process group|is applied in every|c90814c0131b47599b8ec23cc69bdd08|
many of the project management processes|address planning the project|from concept to final design and from procurement through daily management of execution and close out.|c90814c0131b47599b8ec23cc69bdd08|
project management processes|assume an unrealistic degree of certainty about the project|therefore they need to include|c90814c0131b47599b8ec23cc69bdd08|
project risk management|treatment of project risks|is necessary for|c90814c0131b47599b8ec23cc69bdd08|
project risk management|project risk estimates and assumptions|addresses the uncertainty in|c90814c0131b47599b8ec23cc69bdd08|
project risk management|other project management processes|builds upon and extends|c90814c0131b47599b8ec23cc69bdd08|
project scheduling|project risk management|provides dates and critical paths based on activity durations and resource availability assumed to be|c90814c0131b47599b8ec23cc69bdd08|
project risk management|project management processes|requires|720d0a4235b4411799785ce55038f800|
project risk management|scheduling|adds the perspective of project risk to the outputs of|720d0a4235b4411799785ce55038f800|
project risk management|budgeting|adds the perspective of project risk to the outputs of|720d0a4235b4411799785ce55038f800|
project risk management|change management|adds the perspective of project risk to the outputs of|720d0a4235b4411799785ce55038f800|
quantitative risk analysis|project scheduling|explores the uncertainty in the estimated durations and may provide alternative dates and critical paths that are more realistic given the risks to the project|720d0a4235b4411799785ce55038f800|
project risk management|cost and schedule contingency reserves|provides the basis upon which to estimate|720d0a4235b4411799785ce55038f800|
project risk exposure|information on project risks|affects|b28cb8af473a4cadac4bbc817b41f6f1|
early stages of a project|level of risk exposure|is associated with|b28cb8af473a4cadac4bbc817b41f6f1|
late stages of a project|minimum level of risk exposure|is associated with|b28cb8af473a4cadac4bbc817b41f6f1|
project plans and expectations of results|realistic level of project risks recognition|is related to|b28cb8af473a4cadac4bbc817b41f6f1|
project life cycle|risk management approach applicability|is associated with|b28cb8af473a4cadac4bbc817b41f6f1|
early recognition of risks|realistic project plans|influences|b28cb8af473a4cadac4bbc817b41f6f1|
risk management approach|estimation of cost and schedule contingency reserves|provides the basis for|b28cb8af473a4cadac4bbc817b41f6f1|
risk management approach|project life cycle|is applicable throughout|b01ed1f1876f4973ade945b4c2c72236|
recognition of risks|project plans and expectations of results|the earlier in the project, the more realistic|b01ed1f1876f4973ade945b4c2c72236|
risk management|project planning progresses|continues to add value|b01ed1f1876f4973ade945b4c2c72236|
more information|aspects and components of the project and its environment|becomes available|b01ed1f1876f4973ade945b4c2c72236|
stakeholders scope time and cost|corresponding assumptions and constraints|are also considered|b01ed1f1876f4973ade945b4c2c72236|
project flexibility and knowledge about project risk|balance|needs to be reviewed regularly|b01ed1f1876f4973ade945b4c2c72236|
plans develop|options for making substantial changes|are reduced|b01ed1f1876f4973ade945b4c2c72236|
project execution|risk management processes|monitor the changes|b01ed1f1876f4973ade945b4c2c72236|
new risks that may emerge||are monitored during project execution so that|b01ed1f1876f4973ade945b4c2c72236|
changes|risk management processes|monitor|54c1c747d14c46d4b2484a8d2aa51532|
changes|new risks|emerge|54c1c747d14c46d4b2484a8d2aa51532|
changes|existing risks|check for|54c1c747d14c46d4b2484a8d2aa51532|
risk management processes|appropriate responses to new risks|develop|54c1c747d14c46d4b2484a8d2aa51532|
existing risks|plausibility|no longer plausible|54c1c747d14c46d4b2484a8d2aa51532|
project risk management|completion dates|provide realistic expectations for|54c1c747d14c46d4b2484a8d2aa51532|
project risk management|cost of the project|provide realistic expectations for|54c1c747d14c46d4b2484a8d2aa51532|
project execution|few options for changing the future|exists|54c1c747d14c46d4b2484a8d2aa51532|
project closure|risk related lessons|review|54c1c747d14c46d4b2484a8d2aa51532|
organizational learning|risk related lessons|contribute to|54c1c747d14c46d4b2484a8d2aa51532|
project risk management practice|continuous improvement|support|54c1c747d14c46d4b2484a8d2aa51532|
project risk management|project management|is a valuable component of|4beef5efab2b4e4698db31cdfc6fc2ce|
project risk management|other project management processes|enhances the value of|4beef5efab2b4e4698db31cdfc6fc2ce|
project risk management|existing organizational practices and policies|should be conducted in a manner consistent with|4beef5efab2b4e4698db31cdfc6fc2ce|
project risk management|the project|should be appropriate to|4beef5efab2b4e4698db31cdfc6fc2ce|
project risk management|business challenges|should recognize|4beef5efab2b4e4698db31cdfc6fc2ce|
project risk management|multi-cultural environment|should recognize|4beef5efab2b4e4698db31cdfc6fc2ce|
project risk management|global environment|should recognize|4beef5efab2b4e4698db31cdfc6fc2ce|
project risk management|joint venture projects|associated with|4beef5efab2b4e4698db31cdfc6fc2ce|
project risk management|customers|includes|4beef5efab2b4e4698db31cdfc6fc2ce|
project risk management|suppliers|includes|4beef5efab2b4e4698db31cdfc6fc2ce|
project risk management|workforces spread around the globe|includes|4beef5efab2b4e4698db31cdfc6fc2ce|
changes in the project management plan|project risk management process|result from|4beef5efab2b4e4698db31cdfc6fc2ce|
decisions at the appropriate level of management|reassign personnel|may require|4beef5efab2b4e4698db31cdfc6fc2ce|
decisions at the appropriate level of management|establish or modify budgets|may require|4beef5efab2b4e4698db31cdfc6fc2ce|
decisions at the appropriate level of management|make commitments to others outside the project|may require|4beef5efab2b4e4698db31cdfc6fc2ce|
decisions at the appropriate level of management|interact|may require|4beef5efab2b4e4698db31cdfc6fc2ce|
project risk management process|appropriate level of management|requires decisions from|e86fed425641496d97b4dba9db60dc04|
project risk management process|personnel reassignment|may require|e86fed425641496d97b4dba9db60dc04|
project risk management process|budget establishment or modification|may require|e86fed425641496d97b4dba9db60dc04|
project risk management process|making commitments to others outside the project|may require interactions with|e86fed425641496d97b4dba9db60dc04|
project risk management process|regulator interaction|requires compliance with|e86fed425641496d97b4dba9db60dc04|
project risk management process|accounting and legal rules compliance|requires|e86fed425641496d97b4dba9db60dc04|
project risk management|internal and external requirements|should be conducted in compliance with|e86fed425641496d97b4dba9db60dc04|
project risk management|ethical basis|should always be conducted on an|e86fed425641496d97b4dba9db60dc04|
ethical basis|project management code of ethics or conduct|in keeping with|e86fed425641496d97b4dba9db60dc04|
successful project risk management|honesty|is among the characteristics of|e86fed425641496d97b4dba9db60dc04|
successful project risk management|responsibility|is among the characteristics of|e86fed425641496d97b4dba9db60dc04|
successful project risk management|realism|is among the characteristics of|e86fed425641496d97b4dba9db60dc04|
successful project risk management|professionalism|is among the characteristics of|e86fed425641496d97b4dba9db60dc04|
successful project risk management|fair dealing with others|is among the characteristics of|e86fed425641496d97b4dba9db60dc04|
effective project risk management|robust communication|benefits from|e86fed425641496d97b4dba9db60dc04|
effective project risk management|consultation with stakeholders|benefits from|e86fed425641496d97b4dba9db60dc04|
stakeholder agreement|project risk management in general|enables|e86fed425641496d97b4dba9db60dc04|
stakeholder agreement|risk identification analysis and response|enables|e86fed425641496d97b4dba9db60dc04|
project risk management|stakeholders|carried out by|dd4c6daecf434f98ae83d25062cc2fd8|
project risk management|political influences|should not be subject to|dd4c6daecf434f98ae83d25062cc2fd8|
project risk management|other unreasonable influences|should not be subject to|dd4c6daecf434f98ae83d25062cc2fd8|
project risk management|risk identification analysis|includes|dd4c6daecf434f98ae83d25062cc2fd8|
project risk management|response|includes|dd4c6daecf434f98ae83d25062cc2fd8|
project risk management|all projects|applied to|dd4c6daecf434f98ae83d25062cc2fd8|
project risk management degree level of detail, sophistication, resources and time applied|project under management and its value|should be in proportion to|dd4c6daecf434f98ae83d25062cc2fd8|
large project|more resources time and attention to project risk management|theoretically requires|dd4c6daecf434f98ae83d25062cc2fd8|
small internal short-term project|less resources time and attention to project risk management|can be conducted with|dd4c6daecf434f98ae83d25062cc2fd8|
project risk management processes|each of the project under management|should be scaled to be appropriate to|dd4c6daecf434f98ae83d25062cc2fd8|
plan risk management process|project risk management processes|during|dd4c6daecf434f98ae83d25062cc2fd8|
project risk management processes|review|should be reviewed|dd4c6daecf434f98ae83d25062cc2fd8|
project risk management processes|plan risk management process|is scaled to be appropriate|d098ff7f03fb4902b1493051c5f7b726|
project risk management processes|review periodically|is reviewed|d098ff7f03fb4902b1493051c5f7b726|
project risk management processes|project under management|during the management of|d098ff7f03fb4902b1493051c5f7b726|
decisions made in plan risk management process|project risk management processes|remain appropriate|d098ff7f03fb4902b1493051c5f7b726|
project risk management|organizational management|provides a positive potential return on investment for|f64310587691451da5ec79c1d2b56555|
project risk management|project stakeholders (both internal and external)|is recognized as valuable by|f64310587691451da5ec79c1d2b56555|
project risk management process|individual commitment & responsibility|requires acceptance of responsibility for undertaking risk-related activities|f64310587691451da5ec79c1d2b56555|
risk management|everyone|is everybody's responsibility|f64310587691451da5ec79c1d2b56555|
project risk management process|open and honest communication|everyone should be involved in|f64310587691451da5ec79c1d2b56555|
actions or attitudes that hinder communication about project risk|reduce the effectiveness of|reduce|f64310587691451da5ec79c1d2b56555|
open and honest communication|project risk management process|is part of|fc4f0aa823c6406db9f515ad67a5f976|
any actions or attitudes that hinder communication about project risk|project risk management process|reduces the effectiveness of|fc4f0aa823c6406db9f515ad67a5f976|
organizational commitment|risk management|can only be established if aligned with|fc4f0aa823c6406db9f515ad67a5f976|
project risk management|organization's goals and values|should be aligned with|fc4f0aa823c6406db9f515ad67a5f976|
project risk management|other project management disciplines|may require a higher level of managerial support than|fc4f0aa823c6406db9f515ad67a5f976|
handling some of the risks|approval of or responses from others at levels above the project manager|will require approval of or responses from|fc4f0aa823c6406db9f515ad67a5f976|
project risk management activities|value of the project to the organization|should be consistent with|fc4f0aa823c6406db9f515ad67a5f976|
project risk management activities|level of project risk|should be consistent with|fc4f0aa823c6406db9f515ad67a5f976|
project risk management activities|its scale and other organizational constraints|should be consistent with|fc4f0aa823c6406db9f515ad67a5f976|
cost of project risk management|its potential value to the project|should be appropriate to its potential value|fc4f0aa823c6406db9f515ad67a5f976|
project risk management|project|is part of|bf31bd123a2b4617b1640baff54708b5|
project risk management|organization|affects|bf31bd123a2b4617b1640baff54708b5|
project risk management|project risk|manages|bf31bd123a2b4617b1640baff54708b5|
project risk management|cost of project risk management|is related to|bf31bd123a2b4617b1640baff54708b5|
cost of project risk management|potential value to the project and the organization|is appropriate to|bf31bd123a2b4617b1640baff54708b5|
project risk management|project management processes|depends on|bf31bd123a2b4617b1640baff54708b5|
project management processes|successful project risk management|is necessary for|bf31bd123a2b4617b1640baff54708b5|
project risk management|good practice principles|is appropriately applied based on|9886f1dd63ca4df696256e27d415c8ad|
project risk management|organizational environment|should be appropriately applied based on the specifi cs of|9886f1dd63ca4df696256e27d415c8ad|
project risk management|implementation|provides benefits when it is implemented|9886f1dd63ca4df696256e27d415c8ad|
good practice principles|organizational commitment|and with organizational commitment to taking the decisions and performing actions in an open and unbiased manner|9886f1dd63ca4df696256e27d415c8ad|
chapter 2|principles and concepts|refers to|9886f1dd63ca4df696256e27d415c8ad|
project risk management|chapter 11 of the pmbok guide fourth edition|is consistent with|bb4984583fa746c7aabe7506836c46f8|
project risk management principles and concepts|key ideas required to understand and apply project risk management|are|bb4984583fa746c7aabe7506836c46f8|
project risk management approach|approach described in chapter 11 of the pmbok guide fourth edition|is|bb4984583fa746c7aabe7506836c46f8|
other approaches to project risk management|commonly used approaches to project risk management|are also consistent with|bb4984583fa746c7aabe7506836c46f8|
terminology of project risk management|some details differ in other approaches|may differ|bb4984583fa746c7aabe7506836c46f8|
project risk|uncertain event or condition|is|d2173cb145e5494a9b1cca164cc4245d|
project risk|positive effect on a project's objectives|has a positive effect on|d2173cb145e5494a9b1cca164cc4245d|
project risk|negative effect on a project's objectives|has a negative effect on|d2173cb145e5494a9b1cca164cc4245d|
uncertain event or condition|project s objectives|affects|d2173cb145e5494a9b1cca164cc4245d|
project risk|uncertainty dimension|includes|d2173cb145e5494a9b1cca164cc4245d|
uncertainty dimension|probability|described using the term|d2173cb145e5494a9b1cca164cc4245d|
uncertainty dimension|impact|may be called|d2173cb145e5494a9b1cca164cc4245d|
definition of risk|other descriptors|includes|d2173cb145e5494a9b1cca164cc4245d|
definition of risk|likelihood|other descriptors are possible such as|d2173cb145e5494a9b1cca164cc4245d|
definition of risk|consequence|other descriptors are possible such as|d2173cb145e5494a9b1cca164cc4245d|
risk|uncertain future events or conditions|is|fafbedc3f58f499d86339d751b97d1d5|
risk|conditions which would matter if they did occur|also includes|fafbedc3f58f499d86339d751b97d1d5|
distinct events|risk|is a type of|fafbedc3f58f499d86339d751b97d1d5|
general conditions|risk|is also a type of|fafbedc3f58f499d86339d751b97d1d5|
project risk|uncertain events which could have a negative effect on a project's objectives|includes|fafbedc3f58f499d86339d751b97d1d5|
project risk|uncertain events which could have a positive effect|also includes|fafbedc3f58f499d86339d751b97d1d5|
threats|uncertain events which could have a negative effect on a project's objectives|is called|fafbedc3f58f499d86339d751b97d1d5|
opportunities|uncertain events which could have a positive effect|is also called|fafbedc3f58f499d86339d751b97d1d5|
addressing both threats and opportunities|unified project risk management process|allows for|fafbedc3f58f499d86339d751b97d1d5|
gain of synergies and efficiencies|addressing both threats and opportunities within a unified project risk management process|results in|fafbedc3f58f499d86339d751b97d1d5|
risks|uncertain future events or conditions|are|ca51a83a849140318aa9e0e41dd3f276|
risks|which would matter if they did occur|would matter if they occurred|ca51a83a849140318aa9e0e41dd3f276|
causes|events or circumstances|are|ca51a83a849140318aa9e0e41dd3f276|
causes|which currently exist or are certain to exist in the future|are|ca51a83a849140318aa9e0e41dd3f276|
causes|which might give rise to risks|might give rise to|ca51a83a849140318aa9e0e41dd3f276|
effects|conditional future events or conditions|are|ca51a83a849140318aa9e0e41dd3f276|
effects|which would directly affect one or more project objectives if the associated risk occurs|would directly affect if associated risk occurred|ca51a83a849140318aa9e0e41dd3f276|
risk event|uncertainty|ceases to be|ca51a83a849140318aa9e0e41dd3f276|
threats|issues or problems|are called|ca51a83a849140318aa9e0e41dd3f276|
opportunities|benefits|are called|ca51a83a849140318aa9e0e41dd3f276|
project risk|uncertain event or condition|is defined by|a67ca94627dc418990573e6f47098bdc|
project risk|project objectives|affects|a67ca94627dc418990573e6f47098bdc|
uncertain event or condition|positive or negative effect|has|a67ca94627dc418990573e6f47098bdc|
project risk|probability|characterizes the uncertainty dimension|a67ca94627dc418990573e6f47098bdc|
project risk|impact|characterizes the effect on a project's objectives|a67ca94627dc418990573e6f47098bdc|
probability|uncertainty dimension|represents|a67ca94627dc418990573e6f47098bdc|
impact|effect|represents|a67ca94627dc418990573e6f47098bdc|
risk|uncertain future events or conditions|is|349951abb5d745c5a997c84d5b45aad6|
risk|conditions which would matter if they occurred|includes|349951abb5d745c5a997c84d5b45aad6|
risk|events or conditions which may or may not occur|encompasses|349951abb5d745c5a997c84d5b45aad6|
project risk|uncertain events|includes|349951abb5d745c5a997c84d5b45aad6|
project risk|events which could have a negative effect on project objectives|encompasses|349951abb5d745c5a997c84d5b45aad6|
project risk|events which could have a positive effect|encompasses|349951abb5d745c5a997c84d5b45aad6|
threats|uncertain events with negative impact on project objectives|represents|349951abb5d745c5a997c84d5b45aad6|
opportunities|uncertain events with positive impact on project objectives|represents|349951abb5d745c5a997c84d5b45aad6|
project risk management process|addressing threats and opportunities|allows for|349951abb5d745c5a997c84d5b45aad6|
project risk management process|gaining synergies and efficiencies|allows for|349951abb5d745c5a997c84d5b45aad6|
project risk management process|addressing both in the same analyses|enables|349951abb5d745c5a997c84d5b45aad6|
project risk management process|coordinating responses to both if they overlap or can reinforce each other|enables|349951abb5d745c5a997c84d5b45aad6|
risks|uncertain future events or conditions|are|1af86686cbc241c4a8212710ebb0a24b|
risks|future events or conditions which would matter if they did occur|would be|1af86686cbc241c4a8212710ebb0a24b|
risks|project objectives|directly affect|1af86686cbc241c4a8212710ebb0a24b|
risks|causes|are related to|1af86686cbc241c4a8212710ebb0a24b|
causes|events or circumstances which might give rise to risks|might give rise to|1af86686cbc241c4a8212710ebb0a24b|
effects|conditional future events or conditions|are|1af86686cbc241c4a8212710ebb0a24b|
effects|risks|would directly affect if the associated risk occurs|1af86686cbc241c4a8212710ebb0a24b|
cause-risk-effect chain|structured risk statement or risk description|can be used in|1af86686cbc241c4a8212710ebb0a24b|
risk event|uncertainty|ceases to be when it occurs|1af86686cbc241c4a8212710ebb0a24b|
threats|issues or problems|are called|1af86686cbc241c4a8212710ebb0a24b|
opportunities|benefits|are called|1af86686cbc241c4a8212710ebb0a24b|
individual risks|project objectives|affects|959a721d1ac245bdbde631178132938d|
individual risks|project objectives elements or tasks|affects|959a721d1ac245bdbde631178132938d|
day to day project risk management|individual risks|focuses on|959a721d1ac245bdbde631178132938d|
overall project risk|individual risks on a project|is more than the sum of|959a721d1ac245bdbde631178132938d|
overall project risk|the whole project rather than to individual elements or tasks|applies to|959a721d1ac245bdbde631178132938d|
overall project risk|stakeholders|exposes to the implications of variations in project outcome|959a721d1ac245bdbde631178132938d|
overall project risk|project as a whole|represents the effect of uncertainty on|959a721d1ac245bdbde631178132938d|
project|outcome of project|represents|a6aeef58bce44f03aa5096aa1ec47416|
project outcome|implications for stakeholders|is related to|a6aeef58bce44f03aa5096aa1ec47416|
strategic decision making program|project|involved in|a6aeef58bce44f03aa5096aa1ec47416|
portfolio management|project|related to|a6aeef58bce44f03aa5096aa1ec47416|
project governance|project|governed by|a6aeef58bce44f03aa5096aa1ec47416|
investments|project|sanctioned or cancelled|a6aeef58bce44f03aa5096aa1ec47416|
priorities|project|set for|a6aeef58bce44f03aa5096aa1ec47416|
cost and duration of a project|project|realistic targets for|a6aeef58bce44f03aa5096aa1ec47416|
contingency reserve levels|project stakeholders|required to protect|a6aeef58bce44f03aa5096aa1ec47416|
appropriate project priorities|project risk of overall success|judge whether the risk is increasing or decreasing as implementation advances|a6aeef58bce44f03aa5096aa1ec47416|
project stakeholders|risk attitudes|determines|6019b4df36c4438795a33599d3fed1de|
risk attitudes|individual risk or overall project risk|determines|6019b4df36c4438795a33599d3fed1de|
project scale|stakeholder risk attitudes|influences|6019b4df36c4438795a33599d3fed1de|
public commitments made about the project performance|stakeholder risk attitudes|influences|6019b4df36c4438795a33599d3fed1de|
stakeholder sensitivity to issues such as environmental impacts, industrial relations and other factors|stakeholder risk attitudes|influences|6019b4df36c4438795a33599d3fed1de|
project outcomes certainty|stakeholder risk attitudes|results in a desire for|6019b4df36c4438795a33599d3fed1de|
one project objective over another|stakeholder risk attitudes|may express a preference for|6019b4df36c4438795a33599d3fed1de|
organization culture|how risk is regarded|usually also strongly influences|6019b4df36c4438795a33599d3fed1de|
openness of an organization|application of risk management|often impacts|6019b4df36c4438795a33599d3fed1de|
risk management planning|understanding stakeholders attitudes toward risk|is an important component of|6019b4df36c4438795a33599d3fed1de|
risk management planning|understanding stakeholders' attitudes toward risk|precedes|d852d3f03a8b4d78bc94344190e92782|
understanding stakeholders' attitudes toward risk|risk identification and analysis|proceeds|d852d3f03a8b4d78bc94344190e92782|
understanding stakeholders' attitudes toward risk|project success|affects|d852d3f03a8b4d78bc94344190e92782|
understanding stakeholders' attitudes toward risk|stakeholder satisfaction with the project results|affects|d852d3f03a8b4d78bc94344190e92782|
project risk management process|identifying and managing stakeholders' attitudes|requires|d852d3f03a8b4d78bc94344190e92782|
project risk management process|proactive and deliberate management of stakeholders' attitudes|involves|d852d3f03a8b4d78bc94344190e92782|
stakeholder attitudes toward risk|project risk management process|impacts|d852d3f03a8b4d78bc94344190e92782|
stakeholder attitudes toward risk|project results|can influence|d852d3f03a8b4d78bc94344190e92782|
stakeholders|project risk management process|related to|d852d3f03a8b4d78bc94344190e92782|
stakeholder attitudes toward risk|international, cross-industry or multi-organizational projects|particularly important in|d852d3f03a8b4d78bc94344190e92782|
